sample_id,experiment_batch,set,cluster,prompt_condition,replicate,full_english_prompt,prompt_record_status,generation_model,image_width_px,image_height_px,aspect_ratio,fixed_generation_conditions,other_generation_parameters,image_file,image_sha256,evidence_source
A0_F_R4,Batch 1,Set A,0,Free Prompt,R4,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_FreePrompt_R4.png,fc02022edda27b694ca771e05d88d04dfe8a3c3e7f8d65e0cc24b32f3619e0ee,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A0_F_R5,Batch 1,Set A,0,Free Prompt,R5,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_FreePrompt_R5.png,77b78d31a3ecb8c50602c8d7df3f16ef3fb753c4e19683c5a977af8590bcd970,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A0_F_R6,Batch 1,Set A,0,Free Prompt,R6,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_FreePrompt_R6.png,a8d9b14075cb92e1b60440fb76a4f87361bf679f02a6f86baf5f77396bcb063a,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A0_S_R4,Batch 1,Set A,0,Semantic Prompt,R4,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, semantic-prompt condition.
Primary request: Generate a plausible adaptive architectural image in which the following cluster-derived visible semantics are clearly expressed: central-node control, four-direction triangular folded panels, mechanical order, symmetric radial composition, adjustable solar shading.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_SemanticPrompt_R4.png,50facaa8997be06f55b01c8befd4b2aadc54ed7a67afb814f68f442d36c220dd,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A0_S_R5,Batch 1,Set A,0,Semantic Prompt,R5,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, semantic-prompt condition.
Primary request: Generate a plausible adaptive architectural image in which the following cluster-derived visible semantics are clearly expressed: central-node control, four-direction triangular folded panels, mechanical order, symmetric radial composition, adjustable solar shading.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_SemanticPrompt_R5.png,c893cfd5ad4910fb9897d93e36a29b62fff40a48ca118acc6635ab377269193a,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A0_S_R6,Batch 1,Set A,0,Semantic Prompt,R6,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, semantic-prompt condition.
Primary request: Generate a plausible adaptive architectural image in which the following cluster-derived visible semantics are clearly expressed: central-node control, four-direction triangular folded panels, mechanical order, symmetric radial composition, adjustable solar shading.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C0_SemanticPrompt_R6.png,902680ae0e0400b7f3356ee315ad4148fc00bde9aee306487c745b1dc5ecb10a,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A1_F_R4,Batch 1,Set A,1,Free Prompt,R4,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C1_FreePrompt_R4.png,c0d896fc5db7d644528dabe5ea1587d8c52b505c5b3535577b35f7129c51ac69,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A1_F_R5,Batch 1,Set A,1,Free Prompt,R5,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C1_FreePrompt_R5.png,d21ba9df1baca7da37fe61a976143fae8ca5e33fc6866091193b78f31f58b22f,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A1_F_R6,Batch 1,Set A,1,Free Prompt,R6,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, free-prompt condition.
Primary request: Generate a plausible adaptive architectural image without specifying any particular geometric pattern, material system, component arrangement, or response mechanism.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C1_FreePrompt_R6.png,d8debd0efbba5b53f8a8c300c7d4e097360bc690f11b571758b8a71d4e8372d4,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
A1_S_R4,Batch 1,Set A,1,Semantic Prompt,R4,"Use case: photorealistic-natural
Asset type: controlled architectural generation experiment, semantic-prompt condition.
Primary request: Generate a plausible adaptive architectural image in which the following cluster-derived visible semantics are clearly expressed: dense geometric interlocking, multilayer ring-like sequence, outward-expanding modules, flexible composite components, biomimetic layering.
Subject: a close-up frontal view of a contemporary responsive facade component.
Style/medium: high-fidelity architectural photography, realistic materials, no illustration.
Composition/framing: strict frontal near-orthographic view; camera axis perpendicular to the main facade; facade plane parallel to the image plane; centered subject; square composition.
Lighting/mood: neutral natural daylight, even exposure.
Scene/backdrop: restrained and visually unobtrusive.
Constraints: no text, no logo, no people, no watermark.
Avoid: side facade, oblique perspective, aerial view, low angle, high angle, fisheye, wide-angle distortion, dramatic cinematic lighting.",prompt_text_available,OpenAI GPT Image 2 (gpt-image-2),1254,1254,1254:1254,"Study protocol: Batch 2 reused the corresponding Batch 1 prompt text. Within each batch, Free Prompt and Semantic Prompt conditions used the same building type, observation scale, composition, lighting, and negative constraints; the Semantic Prompt additionally included the cluster-level semantic description.",execution environment: OpenAI-hosted GPT Image 2 service; model and sampling managed by the platform; seed control: not exposed to the user; quality and background: automatic; style: prompt-controlled; analysis input: stored PNG file at 1254 x 1254 px; dimensions describe the stored file rather than a requested API size,Batch_1_Generated_Images/Batch1_SetA_C1_SemanticPrompt_R4.png,f487b2a3a6dde8b2bcaa6bb9624f530b8506b361a108bdad41185cadb446d169,This manifest (prompt text); stored PNG file (dimensions and SHA-256); official model documentation: https://developers.openai.com/api/docs/models/gpt-image-2
